evento,data,ativo,car,z,goldstein,peso
Invasao da Ucrania,2022-02-24,LMT,0.1573,8.39,-10.0,1.5729
Invasao da Ucrania,2022-02-24,ZW=F,0.1372,3.76,-10.0,1.3723
Invasao da Ucrania,2022-02-24,CRWD,0.2244,3.3,-10.0,2.2437
Invasao da Ucrania,2022-02-24,RUB=X,0.2849,17.05,-10.0,2.8493
Sancoes a Russia,2022-02-28,BZ=F,0.1084,2.27,-9.0,0.9757
Sancoes a Russia,2022-02-28,LMT,0.0859,4.11,-9.0,0.7729
Sancoes a Russia,2022-02-28,ZW=F,0.4267,11.29,-9.0,3.8406
Sancoes a Russia,2022-02-28,RUB=X,0.1885,11.37,-9.0,1.6969
Embargo ao petroleo russo,2022-03-08,BZ=F,-0.1056,-2.94,-9.0,0.95
Embargo ao petroleo russo,2022-03-08,LMT,-0.0688,-3.09,-9.0,0.6189
Embargo ao petroleo russo,2022-03-08,ZW=F,-0.2673,-7.24,-9.0,2.4057
Embargo ao petroleo russo,2022-03-08,CRWD,0.1501,2.17,-9.0,1.3505
Embargo ao petroleo russo,2022-03-08,RUB=X,0.2023,10.86,-9.0,1.8207
